id,name,shape/point/0/xCoord,shape/point/0/yCoord,shape/point/1/xCoord,shape/point/1/yCoord,shape/point/2/xCoord,shape/point/2/yCoord,shape/point/3/xCoord,shape/point/3/yCoord,shape/point/4/xCoord,shape/point/4/yCoord,shape/point/5/xCoord,shape/point/5/yCoord,shape/point/6/xCoord,shape/point/6/yCoord,shape/_closed,centroid/xCoord,centroid/yCoord,neighbor/0,neighbor/1,neighbor/2,neighbor/3,neighbor/4,neighbor/5,property/0/_name,property/0/_type,property/0/__text,property/1/_name,property/1/_type,property/1/__text,shape/point/7/xCoord,shape/point/7/yCoord,neighbor/6,shape/point/8/xCoord,shape/point/8/yCoord,neighbor/7,shape/point/9/xCoord,shape/point/9/yCoord,neighbor/8
80,chimes shopping centre,-0.461413,51.52761,-0.46030802,51.544056,-0.4662707,51.54542,-0.47588506,51.539825,-0.47493508,51.52654,-0.47308317,51.52563,-0.461413,51.52761,true,-0.47077823,51.5338,128,157,297,314,394,431,N points,numeric,39.0,Colour,string,231;21;255,,,,,,,,,
81,Nine Elms,-0.15015529,51.489223,-0.15359804,51.47615,-0.14209017,51.472458,-0.13402902,51.478115,-0.1353755,51.48516,-0.13946626,51.488815,-0.15015529,51.489223,true,-0.14490306,51.483025,65,76,96,106,146,171,N points,numeric,117.0,Colour,string,255;211;241,,,,,,,,,
82,Borough Und.St.,-0.10049875,51.504322,-0.10224181,51.498158,-0.09011532,51.49539,-0.0935506,51.504425,-0.09576946,51.505997,-0.10049875,51.504322,,,true,-0.09680956,51.502342,5,19,33,71,107,,N points,numeric,65.0,Colour,string,226;231;255,,,,,,,,,
83,Docklands,-0.008125969,51.499046,-0.0061382363,51.515682,-0.008594754,51.52059,-0.026292792,51.518955,-0.029296651,51.497093,-0.008125969,51.499046,,,true,-0.018465718,51.50567,55,90,135,164,165,,N points,numeric,288.0,Colour,string,197;255;229,,,,,,,,,
84,Barnsbury,-0.11288246,51.539173,-0.11421827,51.543434,-0.12133521,51.5425,-0.12479793,51.534164,-0.12050044,51.528862,-0.11288246,51.539173,,,true,-0.12125802,51.533566,17,60,94,112,123,,N points,numeric,99.0,Colour,string,188;192;255,,,,,,,,,
85,Natural History Museum,-0.18210733,51.500885,-0.18590268,51.487778,-0.18216498,51.484936,-0.17369328,51.490013,-0.17623834,51.49986,-0.18210733,51.500885,,,true,-0.17755505,51.49563,13,39,75,124,140,,N points,numeric,168.0,Colour,string,253;192;255,,,,,,,,,
86,Notting Hill,-0.21180281,51.53239,-0.19590908,51.531044,-0.19255349,51.523643,-0.20143072,51.506046,-0.21083651,51.50867,-0.21885596,51.520557,-0.21180281,51.53239,true,-0.20446475,51.51897,95,103,134,154,268,573,N points,numeric,304.0,Colour,string,224;169;255,,,,,,,,,
87,Silvertown,0.036350463,51.52104,0.037421137,51.502068,0.032260854,51.495586,0.02446282,51.494686,0.016996685,51.499794,0.014871805,51.50832,0.021962106,51.52052,true,0.02740289,51.50901,55,159,165,182,202,211,N points,numeric,188.0,Colour,string,171;255;209,0.030472733,51.52335,295,0.036350463,51.52104,305,,,
88,Knightsbridge,-0.15971293,51.502728,-0.1688683,51.50557,-0.17006476,51.502335,-0.1661832,51.49146,-0.16531052,51.491116,-0.16319358,51.49213,-0.15971293,51.502728,true,-0.16425851,51.499928,13,39,49,74,76,124,N points,numeric,128.0,Colour,string,245;198;255,,,,,,,,,
89,Brooklands Museum,-0.47810292,51.352627,-0.4630438,51.342823,-0.44845438,51.356182,-0.4737198,51.37047,-0.4793623,51.364902,-0.47810292,51.352627,,,true,-0.4653801,51.354187,276,293,424,442,493,,N points,numeric,69.0,Colour,string,234;0;65,,,,,,,,,
90,Millwall,-0.033941805,51.490063,-0.033768672,51.491936,-0.029296651,51.497093,-0.008125969,51.499046,-0.004862784,51.493637,-0.012098963,51.483665,-0.029350711,51.48375,true,-0.017079188,51.490646,55,83,121,135,161,176,N points,numeric,87.0,Colour,string,201;255;211,-0.033941805,51.490063,235,,,,,,
91,Wapping,-0.067899086,51.509384,-0.064549364,51.493694,-0.048759297,51.505333,-0.04923669,51.515446,-0.05369371,51.51643,-0.067899086,51.509384,,,true,-0.060331494,51.50719,78,97,99,135,161,,N points,numeric,117.0,Colour,string,215;255;254,,,,,,,,,
92,Bluewater,0.28696573,51.43792,0.28707942,51.437386,0.2703029,51.423588,0.26369137,51.428734,0.263762,51.44885,0.26499408,51.449795,0.28532192,51.43978,true,0.27180952,51.43887,196,216,365,393,479,510,N points,numeric,32.0,Colour,string,60;255;30,0.28696573,51.43792,543,,,,,,
93,Earls Court,-0.20020449,51.502132,-0.18710156,51.487915,-0.20318745,51.479576,-0.20793402,51.485863,-0.20020449,51.502132,,,,,true,-0.1978863,51.490467,75,103,140,147,,,N points,numeric,178.0,Colour,string,255;181;249,,,,,,,,,
94,Islington,-0.11288246,51.539173,-0.10798004,51.532703,-0.10291321,51.530476,-0.09997934,51.530506,-0.095607355,51.533104,-0.09262587,51.549297,-0.09955911,51.551533,true,-0.10280317,51.539352,45,53,60,84,100,104,N points,numeric,212.0,Colour,string,183;202;255,-0.11248552,51.546482,112,-0.11421827,51.543434,132,-0.11288246,51.539173,156
95,Bayswater,-0.18397091,51.50527,-0.2004694,51.504646,-0.20143072,51.506046,-0.19255349,51.523643,-0.18339743,51.519604,-0.18049073,51.51183,-0.18397091,51.50527,true,-0.18923403,51.511284,39,75,86,103,122,154,N points,numeric,174.0,Colour,string,233;181;255,,,,,,,,,
96,Pimlico,-0.1340237,51.499165,-0.12963131,51.495056,-0.12924507,51.491604,-0.1353755,51.48516,-0.13946626,51.488815,-0.13936321,51.496693,-0.13762067,51.498478,true,-0.1343256,51.49487,8,35,38,42,65,81,N points,numeric,88.0,Colour,string,249;216;255,-0.1340237,51.499165,106,,,,,,
97,Bethnal Green,-0.04923669,51.515446,-0.05369371,51.51643,-0.06333961,51.524624,-0.056841556,51.536278,-0.04833042,51.536743,-0.04620879,51.51833,-0.04923669,51.515446,true,-0.055831302,51.527603,91,99,101,129,135,143,N points,numeric,136.0,Colour,string,193;241;255,,,,,,,,,
98,London Bridge,-0.0783414,51.49745,-0.0825411,51.507065,-0.08635711,51.50515,-0.08945184,51.49491,-0.08918934,51.494545,-0.0783414,51.49745,,,true,-0.083611496,51.503185,21,33,36,107,179,,N points,numeric,100.0,Colour,string,225;243;255,,,,,,,,,
99,Whitechapel,-0.06333961,51.524624,-0.05369371,51.51643,-0.067899086,51.509384,-0.068561725,51.509853,-0.07079764,51.513058,-0.069386765,51.518326,-0.06419027,51.524643,true,-0.0650656,51.516735,14,26,37,78,91,97,N points,numeric,82.0,Colour,string,206;244;255,-0.06333961,51.524624,101,,,,,,
100,Clerkenwell,-0.11538348,51.523457,-0.11354424,51.520123,-0.10739084,51.519634,-0.10291321,51.530476,-0.10798004,51.532703,-0.11538348,51.523457,,,true,-0.10937887,51.52439,53,59,60,62,94,,N points,numeric,122.0,Colour,string,199;207;255,,,,,,,,,
101,days shoreditch,-0.06333961,51.524624,-0.056841556,51.536278,-0.06788308,51.543358,-0.069917426,51.54198,-0.07073734,51.529102,-0.06419027,51.524643,-0.06333961,51.524624,true,-0.06475309,51.532578,26,97,99,105,114,143,N points,numeric,116.0,Colour,string,189;232;255,,,,,,,,,
102,South East,-0.5010817,51.403355,-0.5271913,51.39666,-0.49825516,51.386703,-0.49442005,51.390854,-0.5010817,51.403355,,,,,true,-0.5065662,51.394447,199,442,455,545,,,N points,numeric,24.0,Colour,string,238;0;111,,,,,,,,,
103,West Holland Park,-0.21083651,51.50867,-0.20143072,51.506046,-0.2004694,51.504646,-0.20020449,51.502132,-0.20793402,51.485863,-0.21810924,51.48821,-0.2206037,51.49696,true,-0.21071315,51.49656,75,86,93,95,126,134,N points,numeric,159.0,Colour,string,254;174;255,-0.21083651,51.50867,147,,,,,,
104,Hoxton,-0.082282916,51.532,-0.09043958,51.530266,-0.095607355,51.533104,-0.09262587,51.549297,-0.0908268,51.549862,-0.07942261,51.541706,-0.082282916,51.532,true,-0.08665741,51.53638,24,45,94,105,114,156,N points,numeric,89.0,Colour,string,187;215;255,,,,,,,,,
105,Hoxton Rail Station,-0.069917426,51.54198,-0.07073734,51.529102,-0.07387446,51.52784,-0.08079862,51.53027,-0.082282916,51.532,-0.07942261,51.541706,-0.069917426,51.54198,true,-0.07623253,51.53331,24,26,34,101,104,114,N points,numeric,76.0,Colour,string,190;224;255,,,,,,,,,
106,Vauxhall,-0.12924507,51.491604,-0.11873753,51.490784,-0.11672043,51.48957,-0.123788,51.474426,-0.13402902,51.478115,-0.1353755,51.48516,-0.12924507,51.491604,true,-0.12573159,51.48669,38,81,96,111,139,171,N points,numeric,132.0,Colour,string,255;222;248,,,,,,,,,
107,Elephant and Castle,-0.090253204,51.48521,-0.10246386,51.481827,-0.10945196,51.490536,-0.10531124,51.496807,-0.10224181,51.498158,-0.09011532,51.49539,-0.08945184,51.49491,true,-0.09916062,51.49203,33,43,71,82,98,111,N points,numeric,128.0,Colour,string,244;236;255,-0.08918934,51.494545,163,-0.090253204,51.48521,179,,,
108,Kingston upon Thames,-0.30748114,51.403015,-0.29109442,51.415993,-0.2893897,51.42532,-0.29173496,51.4276,-0.30625233,51.431026,-0.3231647,51.42151,-0.3191394,51.403923,true,-0.30487862,51.41295,109,149,177,193,200,238,N points,numeric,145.0,Colour,string,255;93;139,-0.30748114,51.403015,248,,,,,,
109,Hampton Court,-0.3191394,51.403923,-0.3231647,51.42151,-0.32849103,51.423733,-0.34920081,51.41818,-0.35051742,51.396538,-0.34371617,51.39029,-0.32106054,51.39959,true,-0.33590502,51.405846,108,177,236,238,396,432,N points,numeric,138.0,Colour,string,255;74;129,-0.3191394,51.403923,588,,,,,,
110,Stratford,-0.0015039503,51.553463,-0.0142838145,51.54345,-0.0068268273,51.524445,0.006741676,51.532013,0.010753125,51.543427,-0.0015039503,51.553463,,,true,-0.0025357467,51.540714,164,165,211,219,225,,N points,numeric,158.0,Colour,string,164;255;252,,,,,,,,,
111,Oval,-0.121585414,51.471413,-0.105811484,51.471424,-0.10246386,51.481827,-0.10945196,51.490536,-0.11281758,51.49071,-0.11672043,51.48957,-0.123788,51.474426,true,-0.113141336,51.480816,43,106,107,130,139,163,N points,numeric,115.0,Colour,string,255;227;236,-0.121585414,51.471413,171,,,,,,
112,Holloway,-0.13619092,51.560238,-0.12152896,51.563423,-0.11248552,51.546482,-0.11421827,51.543434,-0.12133521,51.5425,-0.13290589,51.545727,-0.1359805,51.55005,true,-0.123564854,51.551155,63,84,94,118,123,132,N points,numeric,152.0,Colour,string,168;180;255,-0.13791418,51.558117,160,-0.13619092,51.560238,281,,,
113,Iver Railway Station,-0.55227286,51.498695,-0.49784634,51.50584,-0.49793386,51.523014,-0.5430034,51.527954,-0.55227286,51.498695,,,,,true,-0.50637436,51.509083,516,520,555,641,,,N points,numeric,8.0,Colour,string,255;6;248,,,,,,,,,
114,Dalston,-0.07942261,51.541706,-0.0908268,51.549862,-0.08203401,51.562237,-0.065276526,51.55323,-0.06788308,51.543358,-0.069917426,51.54198,-0.07942261,51.541706,true,-0.07672226,51.550278,101,104,105,143,156,166,N points,numeric,152.0,Colour,string,171;212;255,,,,,,,,,
115,Heathrow Terminal 5 Station,-0.49110293,51.44983,-0.48407796,51.45315,-0.47692436,51.477314,-0.48855364,51.48463,-0.4992241,51.454098,-0.49110293,51.44983,,,true,-0.48683357,51.472008,137,207,227,425,461,,N points,numeric,75.0,Colour,string,255;17;207,,,,,,,,,
116,Twickenham Stadium,-0.35920483,51.451088,-0.34762177,51.46722,-0.34074202,51.46905,-0.32535952,51.457657,-0.3335908,51.442932,-0.3585818,51.44654,-0.35920483,51.451088,true,-0.34134024,51.452957,236,238,289,342,345,413,N points,numeric,132.0,Colour,string,255;94;192,,,,,,,,,
117,Heathrow,-0.43935198,51.47613,-0.43959245,51.465252,-0.45517367,51.450047,-0.4608728,51.45335,-0.46389085,51.480362,-0.46056294,51.48434,-0.45296276,51.48644,true,-0.45362327,51.469467,158,207,212,374,386,425,N points,numeric,146.0,Colour,string,255;36;206,-0.43935198,51.47613,461,,,,,,
118,Chalk Farm,-0.13791418,51.558117,-0.1359805,51.55005,-0.14918184,51.537384,-0.1579413,51.543106,-0.15021758,51.55806,-0.13791418,51.558117,,,true,-0.14754711,51.545406,63,72,112,153,281,,N points,numeric,249.0,Colour,string,174;169;255,,,,,,,,,
119,EFG Flying School,0.043446414,51.320152,0.0055753705,51.31151,0.016453145,51.336903,0.042491987,51.324474,0.043446414,51.320152,,,,,true,0.029723356,51.325077,362,437,469,593,,,N points,numeric,27.0,Colour,string,255;244;43,,,,,,,,,
120,Kew,-0.2811193,51.46883,-0.30190897,51.485928,-0.29836112,51.498524,-0.2936116,51.50063,-0.27307287,51.48481,-0.2811193,51.46883,,,true,-0.29147366,51.483196,56,152,172,239,300,,N points,numeric,222.0,Colour,string,255;128;233,,,,,,,,,
121,Greenwich Park,-0.006645107,51.46743,0.0059453393,51.478767,0.0014672732,51.491505,-0.004862784,51.493637,-0.012098963,51.483665,-0.006764891,51.467487,-0.006645107,51.46743,true,-0.0039164303,51.481094,55,90,148,176,182,327,N points,numeric,235.0,Colour,string,195;255;193,,,,,,,,,
122,Paddington,-0.16805351,51.52873,-0.1682665,51.52897,-0.18339743,51.519604,-0.18049073,51.51183,-0.16985263,51.50976,-0.16450246,51.516296,-0.16448796,51.516376,true,-0.17353523,51.517155,39,40,49,72,79,95,N points,numeric,255.0,Colour,string,222;185;255,-0.16805351,51.52873,154,,,,,,
123,Kings Cross,-0.12133521,51.5425,-0.13290589,51.545727,-0.13499145,51.53428,-0.12808298,51.532555,-0.12479793,51.534164,-0.12133521,51.5425,,,true,-0.12771998,51.536247,17,41,63,84,112,,N points,numeric,64.0,Colour,string,183;186;255,,,,,,,,,
124,Chelsea,-0.16531052,51.491116,-0.1621795,51.47483,-0.1788085,51.47397,-0.18216498,51.484936,-0.17369328,51.490013,-0.1661832,51.49146,-0.16531052,51.491116,true,-0.17056364,51.48396,13,76,85,88,140,175,N points,numeric,65.0,Colour,string,255;197;242,,,,,,,,,
125,Woolwich,0.056091808,51.483036,0.07308346,51.471043,0.08312557,51.496822,0.080440305,51.500584,0.058859035,51.49666,0.056091808,51.483036,,,true,0.06920946,51.489235,144,202,347,464,501,,N points,numeric,134.0,Colour,string,152;255;166,,,,,,,,,
126,Hammersmith,-0.22463673,51.481804,-0.21810924,51.48821,-0.2206037,51.49696,-0.23224013,51.501568,-0.24167629,51.497322,-0.2422193,51.488594,-0.22463673,51.481804,true,-0.22879708,51.491405,103,134,147,178,181,210,N points,numeric,147.0,Colour,string,255;164;248,,,,,,,,,
127,Wimbledon Common,-0.23618835,51.42697,-0.22076559,51.41676,-0.20031682,51.436653,-0.20847996,51.44697,-0.22595291,51.448143,-0.23607033,51.43657,-0.23618835,51.42697,true,-0.21718138,51.43349,188,251,341,572,575,576,N points,numeric,122.0,Colour,string,255;147;167,,,,,,,,,
128,Cowley,-0.49414828,51.5248,-0.49373287,51.526604,-0.4804184,51.5403,-0.47588506,51.539825,-0.47493508,51.52654,-0.49249187,51.52416,-0.49414828,51.5248,true,-0.48008233,51.53313,80,157,314,344,516,520,N points,numeric,32.0,Colour,string,232;16;255,,,,,,,,,
129,East London,-0.044659268,51.540974,-0.04833042,51.536743,-0.04620879,51.51833,-0.027415399,51.519688,-0.03246256,51.542835,-0.044659268,51.540974,,,true,-0.038947318,51.52955,97,135,143,164,343,,N points,numeric,161.0,Colour,string,186;249;255,,,,,,,,,
130,Rush Common,-0.12463392,51.456905,-0.121585414,51.471413,-0.105811484,51.471424,-0.096037984,51.457054,-0.097205885,51.453938,-0.11867995,51.44988,-0.12463392,51.456905,true,-0.11312991,51.462025,111,163,171,194,258,578,N points,numeric,198.0,Colour,string,255;220;209,,,,,,,,,
131,The Hyde,-0.24212115,51.606133,-0.23047826,51.611126,-0.21843332,51.58426,-0.22135472,51.579018,-0.2440725,51.572018,-0.24974436,51.579407,-0.24212115,51.606133,true,-0.2365338,51.592457,262,383,422,580,591,592,N points,numeric,133.0,Colour,string,128;97;255,,,,,,,,,
132,Finsbury Park,-0.11342278,51.573006,-0.12152896,51.563423,-0.11248552,51.546482,-0.09955911,51.551533,-0.105933815,51.57071,-0.11342278,51.573006,,,true,-0.11020321,51.55829,94,112,156,160,169,,N points,numeric,198.0,Colour,string,161;185;255,,,,,,,,,
133,BEST WESTERN WHITE HOUSE HOTEL,-0.39395452,51.660866,-0.41065854,51.666317,-0.41234916,51.65476,-0.40187457,51.646004,-0.39395452,51.660866,,,,,true,-0.40322256,51.657562,203,282,395,443,,,N points,numeric,58.0,Colour,string,77;0;235,,,,,,,,,
134,Shepherds Bush,-0.23224013,51.501568,-0.2206037,51.49696,-0.21083651,51.50867,-0.21885596,51.520557,-0.22716497,51.519165,-0.23224013,51.501568,,,true,-0.22277236,51.50662,86,103,126,178,573,,N points,numeric,205.0,Colour,string,242;165;255,,,,,,,,,
135,Limehouse,-0.04620879,51.51833,-0.027415399,51.519688,-0.026292792,51.518955,-0.029296651,51.497093,-0.033768672,51.491936,-0.048759297,51.505333,-0.04923669,51.515446,true,-0.037413474,51.50827,83,90,91,97,129,161,N points,numeric,120.0,Colour,string,204;255;242,-0.04620879,51.51833,164,,,,,,
136,HMP Bronzefield,-0.47522885,51.41585,-0.47311908,51.418404,-0.49093884,51.44873,-0.50149053,51.426006,-0.4860506,51.4152,-0.47522885,51.41585,,,true,-0.49206588,51.426823,227,420,425,478,545,,N points,numeric,30.0,Colour,string,255;4;152,,,,,,,,,
137,Poyle,-0.5421754,51.46347,-0.4992241,51.454098,-0.48855364,51.48463,-0.489055,51.48547,-0.5385544,51.47693,-0.5463222,51.47457,-0.5421754,51.46347,true,-0.49776146,51.475826,115,227,461,555,557,636,N points,numeric,39.0,Colour,string,255;11;210,,,,,,,,,
138,Wisley,-0.4897336,51.326202,-0.46360713,51.328156,-0.45319667,51.319614,-0.44679102,51.303734,-0.46335495,51.26767,-0.4903804,51.32546,-0.4897336,51.326202,true,-0.47244817,51.314484,276,397,493,511,513,559,N points,numeric,67.0,Colour,string,202;0;34,,,,,,,,,
139,City of Westminster,-0.11672043,51.48957,-0.11281758,51.49071,-0.11575814,51.50155,-0.12092333,51.50053,-0.12194969,51.49792,-0.11873753,51.490784,-0.11672043,51.48957,true,-0.118414804,51.49888,2,4,38,43,106,111,N points,numeric,55.0,Colour,string,239;222;255,,,,,,,,,
140,Fulham,-0.20067054,51.46569,-0.18448432,51.46433,-0.1788085,51.47397,-0.18216498,51.484936,-0.18590268,51.487778,-0.18710156,51.487915,-0.20318745,51.479576,true,-0.19123183,51.477634,75,85,93,124,147,175,N points,numeric,150.0,Colour,string,255;184;232,-0.20311472,51.469337,251,-0.20067054,51.46569,572,,,
141,Victoria Hospital X-Ray,0.18355988,51.59575,0.17845972,51.590668,0.1782947,51.588524,0.19019192,51.56822,0.1940014,51.566578,0.20236179,51.586815,0.20034426,51.59367,true,0.18863226,51.57961,167,259,272,303,429,497,N points,numeric,57.0,Colour,string,52;255;191,0.18355988,51.59575,602,,,,,,
142,Muswell Hill,-0.119134806,51.586178,-0.13950932,51.581455,-0.14719959,51.586468,-0.14374654,51.60186,-0.13458088,51.60654,-0.12335939,51.60053,-0.119134806,51.586178,true,-0.13299423,51.59324,160,279,281,310,321,367,N points,numeric,123.0,Colour,string,120;146;255,,,,,,,,,
143,Lower Clapton,-0.055746425,51.559296,-0.065276526,51.55323,-0.06788308,51.543358,-0.056841556,51.536278,-0.04833042,51.536743,-0.044659268,51.540974,-0.055746425,51.559296,true,-0.056780633,51.54501,97,101,114,129,166,343,N points,numeric,150.0,Colour,string,174;227;255,,,,,,,,,
144,North Woolwich,0.058859035,51.49666,0.080440305,51.500584,0.08028024,51.517548,0.058271214,51.522346,0.055267904,51.50189,0.058859035,51.49666,,,true,0.06593262,51.50725,125,159,202,501,581,,N points,numeric,78.0,Colour,string,151;255;188,,,,,,,,,
145,Eastcote,-0.3790152,51.574482,-0.3944227,51.582592,-0.40579724,51.576366,-0.396311,51.545795,-0.3958997,51.545753,-0.39086115,51.54925,-0.3790152,51.574482,true,-0.3918624,51.566628,233,269,308,333,357,462,N points,numeric,89.0,Colour,string,185;50;255,,,,,,,,,
146,Battersea,-0.15958664,51.45074,-0.16033141,51.473816,-0.15359804,51.47615,-0.14209017,51.472458,-0.14139128,51.455612,-0.14852577,51.448532,-0.15958664,51.45074,true,-0.15052839,51.4655,76,81,171,175,194,275,N points,numeric,86.0,Colour,string,255;199;213,,,,,,,,,
147,Craven Cottage; Fulham Football Club,-0.22463673,51.481804,-0.21810924,51.48821,-0.20793402,51.485863,-0.20318745,51.479576,-0.20311472,51.469337,-0.2246552,51.469593,-0.22463673,51.481804,true,-0.21511428,51.477463,93,103,126,140,210,251,N points,numeric,75.0,Colour,string,255;171;231,,,,,,,,,
148,Blackheath,0.018812858,51.47524,0.0059453393,51.478767,-0.006645107,51.46743,9.4581774E-4,51.452198,0.0034209725,51.45113,0.023114502,51.467323,0.018812858,51.47524,true,0.0072315508,51.468716,121,182,304,305,327,582,N points,numeric,69.0,Colour,string,201;255;183,,,,,,,,,
149,Fairfield,-0.29109442,51.415993,-0.28476542,51.39326,-0.29346815,51.39066,-0.30748114,51.403015,-0.29109442,51.415993,,,,,true,-0.2972163,51.403275,108,177,226,248,,,N points,numeric,70.0,Colour,string,255;89;125,,,,,,,,,
150,South Croydon,-0.12064506,51.351875,-0.11282225,51.347687,-0.08564135,51.350876,-0.081722714,51.35864,-0.09885605,51.369812,-0.12055725,51.35918,-0.12064506,51.351875,true,-0.10016976,51.35934,168,217,358,369,401,453,N points,numeric,66.0,Colour,string,255;188;94,,,,,,,,,
151,Dagenham Dock Railway Station,0.13406295,51.546787,0.14940697,51.537235,0.15316048,51.518654,0.11836076,51.52397,0.118388385,51.52586,0.13406295,51.546787,,,true,0.136737,51.534424,183,243,440,444,587,,N points,numeric,70.0,Colour,string,103;255;179,,,,,,,,,
152,Ealing,-0.31999812,51.524307,-0.32025534,51.523518,-0.31214982,51.50249,-0.29836112,51.498524,-0.2936116,51.50063,-0.28813314,51.515114,-0.30769795,51.53082,true,-0.30507803,51.513927,120,172,209,239,306,385,N points,numeric,107.0,Colour,string,241;118;255,-0.31999812,51.524307,389,,,,,,
153,Belsize Park,-0.15021758,51.55806,-0.1579413,51.543106,-0.16957843,51.539536,-0.17103201,51.540726,-0.17391889,51.550026,-0.16059145,51.566452,-0.15021758,51.55806,true,-0.16208267,51.552914,72,118,154,260,281,571,N points,numeric,109.0,Colour,string,167;158;255,,,,,,,,,
154,Maida Vale,-0.17103201,51.540726,-0.16957843,51.539536,-0.1682665,51.52897,-0.18339743,51.519604,-0.19255349,51.523643,-0.19590908,51.531044,-0.19303824,51.535122,true,-0.1811905,51.529522,72,86,95,122,153,260,N points,numeric,140.0,Colour,string,206;173;255,-0.17103201,51.540726,268,,,,,,
155,Bromley,0.007883072,51.393486,0.017781401,51.391037,0.035889007,51.415398,0.03519551,51.416233,0.001943907,51.417904,0.007883072,51.393486,,,true,0.017532045,51.405617,257,294,338,448,595,,N points,numeric,74.0,Colour,string,234;255;130,,,,,,,,,
156,Central Park Hotel Finsbury Park,-0.105933815,51.57071,-0.09955911,51.551533,-0.09262587,51.549297,-0.0908268,51.549862,-0.08203401,51.562237,-0.08238796,51.57067,-0.088329755,51.577225,true,-0.095077254,51.563316,94,104,114,132,166,169,N points,numeric,120.0,Colour,string,156;191;255,-0.105933815,51.57071,174,,,,,,
157,Uxbridge,-0.4662707,51.54542,-0.47994593,51.56261,-0.48951137,51.552307,-0.4804184,51.5403,-0.47588506,51.539825,-0.4662707,51.54542,,,true,-0.47860318,51.54724,80,128,344,431,495,,N points,numeric,28.0,Colour,string,216;13;255,,,,,,,,,
158,New Bedfont,-0.42417204,51.436497,-0.4223352,51.45519,-0.43959245,51.465252,-0.45517367,51.450047,-0.45372,51.445766,-0.42943606,51.434105,-0.42417204,51.436497,true,-0.43572283,51.451122,117,348,353,355,386,425,N points,numeric,44.0,Colour,string,255;42;185,,,,,,,,,
159,Beckton,0.036350463,51.52104,0.05407005,51.526943,0.058271214,51.522346,0.055267904,51.50189,0.037421137,51.502068,0.036350463,51.52104,,,true,0.046594925,51.51009,87,144,202,295,581,,N points,numeric,70.0,Colour,string,161;255;201,,,,,,,,,
160,Crouch End,-0.118052475,51.58546,-0.11342278,51.573006,-0.12152896,51.563423,-0.13619092,51.560238,-0.13950932,51.581455,-0.119134806,51.586178,-0.118052475,51.58546,true,-0.12847081,51.57374,112,132,142,169,281,367,N points,numeric,111.0,Colour,string,142;162;255,,,,,,,,,
161,Surrey Quays,-0.06422662,51.48416,-0.05639916,51.47774,-0.033941805,51.490063,-0.033768672,51.491936,-0.048759297,51.505333,-0.064549364,51.493694,-0.065266035,51.4921,true,-0.050411258,51.49373,78,90,91,135,179,235,N points,numeric,124.0,Colour,string,219;255;233,-0.06422662,51.48416,249,,,,,,
162,Richmond,-0.3111675,51.47225,-0.28325593,51.461525,-0.30989718,51.448555,-0.32019284,51.458374,-0.3111675,51.47225,,,,,true,-0.3034601,51.45997,56,193,238,345,,,N points,numeric,79.0,Colour,string,255;117;203,,,,,,,,,
163,Camberwell,-0.081364036,51.476753,-0.08476089,51.463535,-0.096037984,51.457054,-0.105811484,51.471424,-0.10246386,51.481827,-0.090253204,51.48521,-0.081364036,51.476753,true,-0.09438073,51.474777,107,111,130,179,249,578,N points,numeric,127.0,Colour,string,255;240;227,,,,,,,,,
164,Olympic Park,-0.027909376,51.547714,-0.0142838145,51.54345,-0.0068268273,51.524445,-0.008594754,51.52059,-0.026292792,51.518955,-0.027415399,51.519688,-0.03246256,51.542835,true,-0.021035463,51.533455,83,110,129,135,165,219,N points,numeric,134.0,Colour,string,177;255;255,-0.027909376,51.547714,343,,,,,,
165,Plaistow,0.006741676,51.532013,-0.0068268273,51.524445,-0.008594754,51.52059,-0.0061382363,51.515682,0.014871805,51.50832,0.021962106,51.52052,0.006741676,51.532013,true,0.0092678815,51.519547,55,83,87,110,164,211,N points,numeric,89.0,Colour,string,175;255;228,,,,,,,,,
166,Stoke Newington,-0.055746425,51.559296,-0.065276526,51.55323,-0.08203401,51.562237,-0.08238796,51.57067,-0.054529194,51.577877,-0.050377842,51.572453,-0.055746425,51.559296,true,-0.06912706,51.564407,114,143,156,174,322,343,N points,numeric,131.0,Colour,string,154;206;255,,,,,,,,,
167,Rush Green,0.1940014,51.566578,0.19019192,51.56822,0.16967313,51.56847,0.16129181,51.562485,0.16283599,51.55792,0.18010125,51.543232,0.1810635,51.543312,true,0.18084772,51.561516,141,183,230,259,272,303,N points,numeric,65.0,Colour,string,67;255;180,0.19651432,51.56032,440,0.1940014,51.566578,528,,,
168,London Borough of Croydon,-0.12897758,51.37727,-0.10254356,51.39119,-0.098903924,51.38897,-0.09885605,51.369812,-0.12055725,51.35918,-0.12897758,51.37727,,,true,-0.107935086,51.37519,150,217,261,290,358,,N points,numeric,107.0,Colour,string,255;190;112,,,,,,,,,
169,Harringay,-0.092063345,51.59956,-0.087900415,51.592426,-0.088329755,51.577225,-0.105933815,51.57071,-0.11342278,51.573006,-0.118052475,51.58546,-0.092063345,51.59956,true,-0.10250631,51.58339,132,156,160,174,242,367,N points,numeric,123.0,Colour,string,133;172;255,,,,,,,,,
170,Harrow,-0.31407383,51.567036,-0.3180854,51.563015,-0.32288542,51.562153,-0.3291385,51.564888,-0.33860853,51.585262,-0.3286469,51.595886,-0.31713414,51.59432,true,-0.32721603,51.581528,52,301,352,366,389,407,N points,numeric,55.0,Colour,string,159;71;255,-0.3145497,51.5919,415,-0.31407383,51.567036,482,,,
