id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
1,0.484018265,0.497435897,0.478527607,0.382352941,0.386363636,0.344827586,0.330357143,0.314049587,0.389705882,0.382513661,0.409756098,0.426470588,0.441509434,0.486803519,0.528301887,0.5,0.526595745,0.50117096,0.491606715,0.51011236,0.548523207,0.474285714,0.485955056,0.478827362,0.458646617,0.460251046,0.407608696,0.386904762,0.387755102,0.374100719,0.376811594,0.394366197,0.414012739,0.409326425,0.419354839,0.460966543,0.501694915,0.485875706,0.504155125,0.512534819,0.559659091,0.5,0.525568182,0.462184874,0.503836317,0.5,0.485148515,0.496688742,0.539130435,0.456043956,0.402439024,0.39869281,0.407692308,0.385826772,0.36,0.3671875,0.413043478,0.385026738,0.418803419,0.470833333,0.464539007,0.494809689,0.514124294,0.553008596,0.56185567,0.503957784,0.503937008,0.50802139,0.471052632,0.485623003,0.517123288,0.45323741,0.513944223,0.435643564,0.365853659,0.340425532,0.378571429,0.336,0.325396825,0.325396825,0.353333333,0.413461538,0.40234375,0.470588235,0.526315789,0.52303523,0.540983607,0.533854167,0.561307902,0.542288557,0.530612245,0.531034483,0.518159806,0.50137741,0.489230769,0.471571906,0.459143969,0.447619048,0.409326425,0.380681818,0.359756098,0.352941176,0.401408451,0.363636364,0.371428571,0.388392857,0.43359375,0.473867596,0.529595016,0.546218487,0.56281407,0.553475936,0.550122249,0.529832936,0.498765432,0.556626506,0.521939954,0.527777778,0.528528529,0.53015873,0.521582734,0.467532468,0.422330097,0.408839779,0.36196319,0.364864865,0.360902256,0.35915493,0.416666667,0.478723404,0.554166667,0.575757576,0.591029024,0.608108108,0.605893186,0.578767123,0.575206612,0.534510433,0.520992366,0.539256198,0.551422319,0.540816327,0.531855956,0.502906977,0.578397213,0.547717842,0.429268293,0.422459893,0.461538462,0.416107383,0.453846154,0.438016529,0.470149254,0.496855346,0.552380952,0.598484848,0.632450331,0.632978723,0.607758621,0.615217391,0.566739606,0.563318777,0.608591885,0.576086957,0.560606061,0.541958042,0.5703125,0.512096774
2,0.785714286,0.810526316,0.6875,0.545454545,0.56,0.6,0.5,0.461538462,0.617021277,0.542372881,0.58974359,0.66,0.660714286,0.676056338,0.733695652,0.694267516,0.621052632,0.638613861,0.596330275,0.599236641,0.570175439,0.570048309,0.519774011,0.580838323,0.562091503,0.6,0.467391304,0.448717949,0.358208955,0.378787879,0.295081967,0.417910448,0.370786517,0.461538462,0.482517483,0.520710059,0.607843137,0.548387097,0.59030837,0.580769231,0.57826087,0.519650655,0.551440329,0.446153846,0.512820513,0.488584475,0.488095238,0.511494253,0.564417178,0.454545455,0.458333333,0.341772152,0.285714286,0.294117647,0.305555556,0.346153846,0.387755102,0.420289855,0.414965986,0.491620112,0.532338308,0.546153846,0.583333333,0.552173913,0.588495575,0.594827586,0.560344828,0.560784314,0.575342466,0.635897436,0.706293706,0.683453237,0.676691729,0.66,0.577464789,0.516129032,0.382978723,0.416666667,0.404255319,0.404255319,0.420289855,0.401869159,0.504854369,0.57480315,0.648275862,0.607843137,0.651898734,0.683229814,0.679738562,0.660606061,0.611764706,0.646067416,0.670886076,0.688741722,0.683098592,0.701492537,0.692982456,0.698924731,0.74137931,0.638888889,0.555555556,0.535714286,0.5,0.722222222,0.555555556,0.682539683,0.652777778,0.71,0.690140845,0.702898551,0.703947368,0.73964497,0.722580645,0.72611465,0.679104478,0.677852349,0.707142857,0.752,0.755725191,0.771653543,0.754901961,0.767123288,0.66,0.666666667,0.617647059,0.588235294,0.476190476,0.666666667,0.705882353,0.672727273,0.742857143,0.81,0.812030075,0.821428571,0.795454545,0.752525253,0.742690058,0.777142857,0.765822785,0.755555556,0.780645161,0.773333333,0.8,0.740458015,0.774193548,0.707865169,0.721311475,0.676470588,0.588235294,0.571428571,0.692307692,0.606060606,0.594594595,0.615384615,0.802325581,0.722772277,0.757352941,0.818791946,0.7625,0.773722628,0.692307692,0.720779221,0.746478873,0.696774194,0.716129032,0.721854305,0.783216783,0.71969697
3,0.456140351,0.306122449,0.369565217,0.289473684,0.25,0.219512195,0.216216216,0.302325581,0.173913043,0.352112676,0.365591398,0.329411765,0.447619048,0.433333333,0.472222222,0.507352941,0.5,0.466216216,0.373239437,0.447204969,0.429824561,0.433628319,0.462184874,0.428571429,0.438202247,0.4,0.378378378,0.254545455,0.264150943,0.203125,0.203703704,0.246153846,0.285714286,0.314049587,0.417391304,0.485915493,0.474074074,0.496815287,0.448717949,0.557471264,0.55952381,0.497206704,0.45625,0.470588235,0.405797101,0.396825397,0.455445545,0.393617021,0.347368421,0.371428571,0.352941176,0.298245614,0.327868852,0.238095238,0.254237288,0.28358209,0.253164557,0.288135593,0.377622378,0.450292398,0.514619883,0.48255814,0.441860465,0.467625899,0.534591195,0.514285714,0.432258065,0.460526316,0.417910448,0.408163265,0.447916667,0.367816092,0.397435897,0.317460317,0.346153846,0.291666667,0.288888889,0.294117647,0.31372549,0.272727273,0.257142857,0.245283019,0.398305085,0.428571429,0.474683544,0.433566434,0.482758621,0.527777778,0.492424242,0.386554622,0.442028986,0.380165289,0.452991453,0.314606742,0.340425532,0.367816092,0.319444444,0.241935484,0.153846154,0.119047619,0.145833333,0.12,0.083333333,0.125,0.155172414,0.234693878,0.371134021,0.398148148,0.49,0.478632479,0.534246575,0.429906542,0.564356436,0.504424779,0.486238532,0.387096774,0.392857143,0.402777778,0.411764706,0.328358209,0.396825397,0.318181818,0.244444444,0.340909091,0.25,0.166666667,0.142857143,0.09375,0.212121212,0.189655172,0.385964912,0.475,0.541666667,0.550847458,0.537815126,0.561983471,0.503937008,0.490740741,0.438202247,0.414634146,0.347222222,0.416666667,0.345679012,0.309859155,0.353846154,0.316666667,0.191489362,0.191489362,0.177777778,0.14,0.127659574,0.18,0.085106383,0.197183099,0.228070175,0.350649351,0.5,0.53,0.53125,0.519230769,0.481132075,0.522522523,0.451923077,0.517647059,0.458823529,0.5,0.45,0.276923077
4,0.787234043,0.706422018,0.666666667,0.648148148,0.565217391,0.673913043,0.641025641,0.586956522,0.59375,0.472222222,0.656565657,0.731034483,0.706467662,0.73853211,0.742268041,0.716494845,0.746192893,0.743243243,0.683257919,0.6692607,0.700421941,0.628959276,0.705069124,0.715053763,0.679487179,0.734265734,0.677419355,0.685393258,0.674157303,0.662162162,0.655737705,0.657142857,0.606741573,0.58974359,0.677966102,0.666666667,0.677966102,0.657754011,0.691629956,0.652968037,0.665116279,0.646226415,0.63255814,0.666666667,0.679824561,0.678899083,0.700507614,0.666666667,0.758389262,0.697478992,0.679012346,0.652173913,0.64516129,0.612903226,0.640625,0.656716418,0.56043956,0.513513514,0.556390977,0.639751553,0.630057803,0.621359223,0.639269406,0.672897196,0.615740741,0.693333333,0.594470046,0.625984252,0.655021834,0.698689956,0.634146341,0.678217822,0.686131387,0.672566372,0.670886076,0.698630137,0.616666667,0.629032258,0.586206897,0.633333333,0.548780488,0.409448819,0.575221239,0.666666667,0.691428571,0.654822335,0.645833333,0.64573991,0.697560976,0.663507109,0.637254902,0.663755459,0.711009174,0.704663212,0.654450262,0.703703704,0.796747967,0.762376238,0.720588235,0.769230769,0.755555556,0.70212766,0.785714286,0.653061224,0.641791045,0.556521739,0.552631579,0.637795276,0.674698795,0.741573034,0.701357466,0.707207207,0.745535714,0.727659574,0.701680672,0.704545455,0.705583756,0.70754717,0.747663551,0.730769231,0.691176471,0.785046729,0.671052632,0.701492537,0.711538462,0.7,0.652173913,0.653061224,0.696969697,0.594936709,0.635036496,0.723529412,0.709543568,0.726962457,0.722846442,0.735915493,0.726950355,0.67896679,0.676923077,0.686792453,0.747211896,0.708333333,0.689956332,0.705555556,0.768211921,0.715517241,0.729411765,0.693548387,0.706896552,0.660714286,0.672413793,0.660714286,0.654545455,0.709302326,0.651851852,0.772020725,0.75,0.703125,0.713754647,0.694915254,0.664031621,0.64556962,0.634259259,0.640909091,0.716666667,0.689361702,0.668478261,0.763313609
5,0.712328767,0.714285714,0.69047619,0.725,0.696969697,0.714285714,0.647058824,0.622641509,0.573770492,0.563636364,0.54887218,0.551724138,0.622340426,0.598455598,0.616393443,0.5917603,0.584459459,0.628070175,0.575,0.544554455,0.462686567,0.581005587,0.54375,0.6,0.589552239,0.547008547,0.56,0.523255814,0.506329114,0.512820513,0.53164557,0.552941176,0.48,0.437086093,0.520618557,0.581151832,0.580508475,0.58974359,0.542424242,0.623824451,0.622149837,0.63898917,0.636734694,0.515555556,0.555555556,0.545977011,0.593103448,0.650684932,0.647540984,0.651785714,0.6,0.592592593,0.590361446,0.580246914,0.585365854,0.546511628,0.548076923,0.521472393,0.481308411,0.479638009,0.563909774,0.51863354,0.545945946,0.587155963,0.548494983,0.584126984,0.566901408,0.497737557,0.542986425,0.507177033,0.552325581,0.55625,0.518518519,0.546296296,0.494623656,0.505747126,0.505617978,0.494252874,0.511363636,0.467391304,0.47706422,0.460122699,0.5,0.489082969,0.540441176,0.612121212,0.585365854,0.557184751,0.602816901,0.570175439,0.552715655,0.493723849,0.543568465,0.53125,0.579487179,0.571428571,0.62745098,0.576271186,0.535353535,0.525773196,0.505376344,0.5,0.516129032,0.526315789,0.490740741,0.45398773,0.492146597,0.509009009,0.559602649,0.583081571,0.561111111,0.601910828,0.588607595,0.557275542,0.602787456,0.629343629,0.558490566,0.591549296,0.666666667,0.609271523,0.639097744,0.644230769,0.658823529,0.626666667,0.652173913,0.666666667,0.619047619,0.627118644,0.653333333,0.682352941,0.637362637,0.683098592,0.672985782,0.641350211,0.647590361,0.630630631,0.581967213,0.603399433,0.663636364,0.653571429,0.616666667,0.625641026,0.708860759,0.656716418,0.594202899,0.618644068,0.631578947,0.618421053,0.591549296,0.656716418,0.704918033,0.661016949,0.666666667,0.708333333,0.652631579,0.669117647,0.739130435,0.691699605,0.677536232,0.621621622,0.602339181,0.603833866,0.669421488,0.575,0.630872483,0.634328358,0.709401709,0.653465347
6,0.600732601,0.557603687,0.585635359,0.496124031,0.490384615,0.473684211,0.469387755,0.47826087,0.513761468,0.496644295,0.493087558,0.558252427,0.52173913,0.495176849,0.505181347,0.524421594,0.522613065,0.49742268,0.502173913,0.468438538,0.537878788,0.539249147,0.56261343,0.570264766,0.582043344,0.552419355,0.492610837,0.51048951,0.489051095,0.467889908,0.490384615,0.513513514,0.537190083,0.486631016,0.47008547,0.518181818,0.535315985,0.510835913,0.495215311,0.53221957,0.525423729,0.543429844,0.515711645,0.491729323,0.511242604,0.51048951,0.559602649,0.554414784,0.611793612,0.519031142,0.470046083,0.490566038,0.482517483,0.492063492,0.479674797,0.484615385,0.513333333,0.42408377,0.457831325,0.521912351,0.551724138,0.531764706,0.558704453,0.533210332,0.505070994,0.545787546,0.510309278,0.50955414,0.472868217,0.471428571,0.50477707,0.545454545,0.509803922,0.470967742,0.473029046,0.527173913,0.487804878,0.462121212,0.416058394,0.464566929,0.45890411,0.452736318,0.446640316,0.48,0.530351438,0.524804178,0.509164969,0.523622047,0.562372188,0.53798768,0.539855072,0.481081081,0.520564042,0.485564304,0.504411765,0.499231951,0.486707566,0.447530864,0.485714286,0.432989691,0.471698113,0.416058394,0.34751773,0.44,0.462068966,0.383419689,0.401486989,0.471264368,0.422580645,0.47826087,0.454011742,0.509541985,0.487903226,0.537340619,0.542222222,0.489041096,0.518435754,0.521290323,0.5281602,0.55186722,0.562197092,0.567505721,0.52887538,0.515748031,0.482587065,0.460526316,0.440789474,0.551181102,0.551470588,0.588957055,0.580188679,0.577358491,0.589576547,0.58649789,0.6048,0.594362745,0.557894737,0.536895674,0.553899083,0.508917955,0.573929961,0.541958042,0.536046512,0.541262136,0.540197461,0.516521739,0.492822967,0.49112426,0.526717557,0.48603352,0.477987421,0.510204082,0.493421053,0.530864198,0.583333333,0.563876652,0.582758621,0.564285714,0.570057582,0.542910448,0.548701299,0.524786325,0.566137566,0.560064935,0.553017945,0.540350877,0.557377049,0.612732095
7,0.471264368,0.452830189,0.333333333,0.379310345,0.333333333,0.4,0.375,0.392857143,0.23255814,0.296296296,0.41,0.340659341,0.327433628,0.373333333,0.383783784,0.356097561,0.460732984,0.403409091,0.405172414,0.398523985,0.393382353,0.38277512,0.461077844,0.384615385,0.527472527,0.466666667,0.384615385,0.35,0.333333333,0.333333333,0.314285714,0.341463415,0.421875,0.307692308,0.375,0.506756757,0.481203008,0.45625,0.489010989,0.436464088,0.514285714,0.427672956,0.382653061,0.326007326,0.416938111,0.401486989,0.378109453,0.373563218,0.386138614,0.435483871,0.304347826,0.272727273,0.294117647,0.272727273,0.264705882,0.282051282,0.345454545,0.32173913,0.295081967,0.351145038,0.427672956,0.457317073,0.383783784,0.431818182,0.45505618,0.449275362,0.348039216,0.357692308,0.412650602,0.409240924,0.410358566,0.393939394,0.381679389,0.28,0.263157895,0.16,0.224489796,0.173913043,0.170212766,0.183673469,0.260273973,0.256637168,0.292207792,0.35915493,0.356643357,0.39010989,0.419354839,0.435,0.429347826,0.430851064,0.400966184,0.383386581,0.405144695,0.389261745,0.435185185,0.372093023,0.397163121,0.342857143,0.408163265,0.255813953,0.282051282,0.264705882,0.289473684,0.324324324,0.333333333,0.298245614,0.410852713,0.312056738,0.432098765,0.471502591,0.443925234,0.493333333,0.504587156,0.461538462,0.406779661,0.426229508,0.447457627,0.407284768,0.507462687,0.518018018,0.558139535,0.37804878,0.553846154,0.30952381,0.41025641,0.41025641,0.4,0.351351351,0.487804878,0.492063492,0.397435897,0.432835821,0.460674157,0.475095785,0.397626113,0.434782609,0.495652174,0.484679666,0.44109589,0.414248021,0.407932011,0.462783172,0.459016393,0.457013575,0.437125749,0.418032787,0.546666667,0.514705882,0.517857143,0.444444444,0.446808511,0.458333333,0.464285714,0.5625,0.555555556,0.460869565,0.525,0.519480519,0.4778157,0.444108761,0.424528302,0.482084691,0.446202532,0.429078014,0.488095238,0.492822967,0.463541667,0.421568627
8,0.494736842,0.459770115,0.417721519,0.292307692,0.328125,0.352941176,0.338461538,0.347222222,0.347222222,0.405660377,0.468965517,0.519125683,0.540772532,0.554166667,0.449275362,0.507614213,0.468899522,0.52238806,0.453608247,0.458333333,0.484210526,0.439759036,0.464088398,0.488764045,0.496551724,0.503937008,0.4,0.333333333,0.298701299,0.283783784,0.325581395,0.308641975,0.357142857,0.390070922,0.376712329,0.523012552,0.584,0.503816794,0.517374517,0.516806723,0.508547009,0.484018265,0.506437768,0.507042254,0.535,0.528735632,0.466257669,0.442857143,0.442748092,0.355140187,0.318681319,0.25,0.25,0.253164557,0.220779221,0.272727273,0.309090909,0.341269841,0.389189189,0.483333333,0.590038314,0.491803279,0.493975904,0.443396226,0.472727273,0.483471074,0.470833333,0.40952381,0.43814433,0.376712329,0.411764706,0.431372549,0.425531915,0.325203252,0.317307692,0.309278351,0.255555556,0.247058824,0.247058824,0.255555556,0.298076923,0.324137931,0.337016575,0.448888889,0.506993007,0.433884298,0.457364341,0.515283843,0.509090909,0.429824561,0.456140351,0.42081448,0.403141361,0.449101796,0.433526012,0.379310345,0.401315789,0.354545455,0.324324324,0.258064516,0.266666667,0.25,0.247058824,0.244186047,0.302752294,0.337931034,0.403141361,0.462962963,0.586805556,0.518072289,0.518518519,0.46875,0.563106796,0.556074766,0.512315271,0.468292683,0.525714286,0.5,0.551948052,0.519083969,0.533333333,0.510869565,0.417721519,0.410958904,0.375,0.353846154,0.380952381,0.411764706,0.430379747,0.418367347,0.512,0.617801047,0.68164794,0.661417323,0.661290323,0.618518519,0.64,0.614349776,0.584070796,0.546341463,0.584210526,0.509433962,0.582191781,0.575757576,0.576271186,0.509803922,0.425,0.415584416,0.376811594,0.402985075,0.367647059,0.385714286,0.420289855,0.504950495,0.535433071,0.592178771,0.673539519,0.642335766,0.616666667,0.595041322,0.574766355,0.592920354,0.566137566,0.597701149,0.506944444,0.551948052,0.515151515,0.557142857
9,0.485981308,0.488888889,0.447368421,0.507042254,0.516666667,0.515625,0.466666667,0.492307692,0.454545455,0.356060606,0.388888889,0.442307692,0.395480226,0.429223744,0.36328125,0.417021277,0.411255411,0.459574468,0.487341772,0.449101796,0.442073171,0.448669202,0.445887446,0.473429952,0.422619048,0.403100775,0.385964912,0.38317757,0.370786517,0.348314607,0.351351351,0.337837838,0.359550562,0.307189542,0.442307692,0.348993289,0.424581006,0.391509434,0.393939394,0.437984496,0.467181467,0.445736434,0.376237624,0.362586605,0.421917808,0.416149068,0.412639405,0.366548043,0.362637363,0.372093023,0.368421053,0.333333333,0.333333333,0.390243902,0.379746835,0.362637363,0.34,0.323353293,0.365168539,0.441489362,0.44549763,0.429133858,0.423728814,0.417857143,0.433566434,0.464646465,0.433420366,0.449561404,0.408312958,0.430851064,0.446666667,0.366013072,0.351351351,0.373417722,0.386363636,0.316666667,0.37037037,0.349514563,0.349056604,0.333333333,0.365671642,0.341836735,0.394736842,0.358851675,0.352697095,0.375838926,0.417827298,0.448717949,0.460750853,0.40647482,0.443271768,0.411627907,0.413625304,0.457680251,0.461016949,0.456375839,0.385,0.440944882,0.389380531,0.483870968,0.484536082,0.434210526,0.472222222,0.469135802,0.355140187,0.352941176,0.403614458,0.426395939,0.403669725,0.406504065,0.423076923,0.42384106,0.451724138,0.430340557,0.428961749,0.416458853,0.434343434,0.449591281,0.428571429,0.496402878,0.401746725,0.454022989,0.459459459,0.398373984,0.419354839,0.39047619,0.435294118,0.431818182,0.505882353,0.509803922,0.569230769,0.571428571,0.531914894,0.557312253,0.594936709,0.588757396,0.529085873,0.54308094,0.495049505,0.527845036,0.505376344,0.539295393,0.491909385,0.436923077,0.463235294,0.453488372,0.45212766,0.420212766,0.447852761,0.442748092,0.408333333,0.478723404,0.526315789,0.488636364,0.504273504,0.512396694,0.485207101,0.520833333,0.551971326,0.522648084,0.474452555,0.575396825,0.531598513,0.535433071,0.456730769,0.5,0.5,0.496503497
10,0.744186047,0.564102564,0.6875,0.625,0.652173913,0.642857143,0.424242424,0.526315789,0.565217391,0.396039604,0.455284553,0.35483871,0.419161677,0.411764706,0.431192661,0.446700508,0.405263158,0.461538462,0.405555556,0.396449704,0.540740741,0.531914894,0.566666667,0.575,0.52238806,0.533333333,0.510204082,0.479166667,0.477272727,0.47826087,0.41509434,0.481481481,0.432835821,0.397163121,0.377483444,0.436708861,0.364705882,0.359813084,0.349344978,0.388392857,0.367021277,0.380434783,0.338797814,0.348571429,0.380952381,0.35483871,0.376068376,0.451327434,0.4,0.4,0.342857143,0.390625,0.406779661,0.406779661,0.391304348,0.37037037,0.412371134,0.37037037,0.405128205,0.484162896,0.49339207,0.394052045,0.389105058,0.378378378,0.400943396,0.417475728,0.357894737,0.376237624,0.489655172,0.478571429,0.4296875,0.410714286,0.463917526,0.453488372,0.415584416,0.394366197,0.380952381,0.380952381,0.380952381,0.420289855,0.416666667,0.38547486,0.334975369,0.419811321,0.450643777,0.412451362,0.435897436,0.422413793,0.422413793,0.428571429,0.353488372,0.410480349,0.355029586,0.423611111,0.483333333,0.448598131,0.434343434,0.454545455,0.46835443,0.394736842,0.413333333,0.408450704,0.414285714,0.441558442,0.432692308,0.391891892,0.448087432,0.444444444,0.397905759,0.43220339,0.411067194,0.505263158,0.450777202,0.444444444,0.423280423,0.475177305,0.512195122,0.538461538,0.6,0.684931507,0.684931507,0.733333333,0.759259259,0.784313725,0.75,0.853658537,0.810810811,0.861111111,0.75,0.829787234,0.745454545,0.736842105,0.622222222,0.637168142,0.636942675,0.612403101,0.654135338,0.626666667,0.637583893,0.62601626,0.584269663,0.618421053,0.642857143,0.6,0.702702703,0.608695652,0.618181818,0.565217391,0.477272727,0.552631579,0.513513514,0.540540541,0.675,0.574468085,0.611111111,0.743243243,0.722891566,0.651162791,0.666666667,0.643564356,0.574468085,0.597826087,0.579545455,0.6,0.584615385,0.555555556,0.677419355,0.607843137
