id_left,1,1.5,2,2.5,3,3.5,4,4.5,5,1_%,1.5_%,2_%,2.5_%,3_%,3.5_%,4_%,4.5_%,5_%,low,mid,high,average_rating
72,2,0,0,0,5,5,10,4,7,0.060606061,0,0,0,0.151515152,0.151515152,0.303030303,0.121212121,0.212121212,0.060606061,0.303030304,0.636363636,3.863636364
73,2,0,2,0,9,25,18,18,13,0.022988506,0,0.022988506,0,0.103448276,0.287356322,0.206896552,0.206896552,0.149425287,0.045977012,0.390804598,0.563218391,3.890804598
74,4,0,9,4,9,22,26,24,23,0.033057851,0,0.074380165,0.033057851,0.074380165,0.181818182,0.214876033,0.198347107,0.190082645,0.107438016,0.289256198,0.603305785,3.826446281
75,6,3,10,20,34,47,53,33,18,0.026785714,0.013392857,0.044642857,0.089285714,0.151785714,0.209821429,0.236607143,0.147321429,0.080357143,0.084821428,0.450892857,0.464285715,3.560267857
76,2,1,0,2,4,10,33,18,6,0.026315789,0.013157895,0,0.026315789,0.052631579,0.131578947,0.434210526,0.236842105,0.078947368,0.039473684,0.210526315,0.749999999,3.927631579
77,9,2,10,19,36,47,95,53,36,0.029315961,0.006514658,0.03257329,0.061889251,0.117263844,0.153094463,0.309446254,0.172638436,0.117263844,0.068403909,0.332247558,0.599348534,3.747557003
78,0,0,1,7,7,14,13,7,2,0,0,0.019607843,0.137254902,0.137254902,0.274509804,0.254901961,0.137254902,0.039215686,0.019607843,0.549019608,0.431372549,3.588235294
79,6,6,7,11,33,47,62,47,14,0.025751073,0.025751073,0.030042918,0.0472103,0.141630901,0.201716738,0.266094421,0.201716738,0.060085837,0.081545064,0.390557939,0.527896996,3.645922747
81,2,0,1,0,0,3,7,1,7,0.095238095,0,0.047619048,0,0,0.142857143,0.333333333,0.047619048,0.333333333,0.142857143,0.142857143,0.714285714,3.904761905
82,0,0,2,3,4,16,9,9,4,0,0,0.042553191,0.063829787,0.085106383,0.340425532,0.191489362,0.191489362,0.085106383,0.042553191,0.489361702,0.468085107,3.744680851
83,6,3,5,11,22,41,47,17,8,0.0375,0.01875,0.03125,0.06875,0.1375,0.25625,0.29375,0.10625,0.05,0.0875,0.4625,0.45,3.5125
84,1,1,1,6,8,20,22,21,6,0.011627907,0.011627907,0.011627907,0.069767442,0.093023256,0.23255814,0.255813953,0.244186047,0.069767442,0.034883721,0.395348838,0.569767442,3.790697674
85,2,3,7,17,24,29,64,21,9,0.011363636,0.017045455,0.039772727,0.096590909,0.136363636,0.164772727,0.363636364,0.119318182,0.051136364,0.068181818,0.397727272,0.53409091,3.590909091
86,1,1,7,9,28,57,70,57,38,0.003731343,0.003731343,0.026119403,0.03358209,0.104477612,0.212686567,0.26119403,0.212686567,0.141791045,0.033582089,0.350746269,0.615671642,3.914179104
88,2,1,4,7,17,14,41,31,15,0.015151515,0.007575758,0.03030303,0.053030303,0.128787879,0.106060606,0.310606061,0.234848485,0.113636364,0.053030303,0.287878788,0.65909091,3.84469697
90,0,0,1,1,1,2,4,3,1,0,0,0.076923077,0.076923077,0.076923077,0.153846154,0.307692308,0.230769231,0.076923077,0.076923077,0.307692308,0.615384616,3.769230769
91,1,2,0,1,1,2,10,8,0,0.04,0.08,0,0.04,0.04,0.08,0.4,0.32,0,0.12,0.16,0.72,3.7
93,7,0,7,26,22,31,37,25,13,0.041666667,0,0.041666667,0.154761905,0.130952381,0.18452381,0.220238095,0.148809524,0.077380952,0.083333334,0.470238096,0.446428571,3.488095238
94,7,4,6,17,27,92,122,46,23,0.020348837,0.011627907,0.01744186,0.049418605,0.078488372,0.26744186,0.354651163,0.13372093,0.066860465,0.049418604,0.395348837,0.555232558,3.722383721
95,17,15,20,26,45,52,85,29,27,0.053797468,0.047468354,0.063291139,0.082278481,0.142405063,0.164556962,0.268987342,0.091772152,0.085443038,0.164556961,0.389240506,0.446202532,3.376582278
96,7,2,2,14,14,22,33,24,7,0.056,0.016,0.016,0.112,0.112,0.176,0.264,0.192,0.056,0.088,0.4,0.512,3.544
97,3,3,2,3,9,17,21,16,8,0.036585366,0.036585366,0.024390244,0.036585366,0.109756098,0.207317073,0.256097561,0.195121951,0.097560976,0.097560976,0.353658537,0.548780488,3.676829268
98,2,0,2,2,15,16,31,16,6,0.022222222,0,0.022222222,0.022222222,0.166666667,0.177777778,0.344444444,0.177777778,0.066666667,0.044444444,0.366666667,0.588888889,3.755555556
99,2,1,0,2,7,6,17,15,7,0.035087719,0.01754386,0,0.035087719,0.122807018,0.105263158,0.298245614,0.263157895,0.122807018,0.052631579,0.263157895,0.684210527,3.877192982
100,4,1,0,2,19,26,62,23,11,0.027027027,0.006756757,0,0.013513514,0.128378378,0.175675676,0.418918919,0.155405405,0.074324324,0.033783784,0.317567568,0.648648648,3.817567568
101,1,1,1,2,5,26,33,15,12,0.010416667,0.010416667,0.010416667,0.020833333,0.052083333,0.270833333,0.34375,0.15625,0.125,0.031250001,0.343749999,0.625,3.90625
103,0,3,1,9,3,12,24,15,13,0,0.0375,0.0125,0.1125,0.0375,0.15,0.3,0.1875,0.1625,0.05,0.3,0.65,3.85625
104,1,0,1,0,2,2,9,5,6,0.038461538,0,0.038461538,0,0.076923077,0.076923077,0.346153846,0.192307692,0.230769231,0.076923076,0.153846154,0.769230769,4.019230769
105,0,2,1,0,3,16,11,18,6,0,0.035087719,0.01754386,0,0.052631579,0.280701754,0.192982456,0.315789474,0.105263158,0.052631579,0.333333333,0.614035088,3.947368421
106,2,0,1,5,6,14,20,13,6,0.029850746,0,0.014925373,0.074626866,0.089552239,0.208955224,0.298507463,0.194029851,0.089552239,0.044776119,0.373134329,0.582089553,3.76119403
107,4,1,2,4,9,13,6,10,1,0.08,0.02,0.04,0.08,0.18,0.26,0.12,0.2,0.02,0.14,0.52,0.34,3.32
110,2,1,4,8,11,15,27,10,8,0.023255814,0.011627907,0.046511628,0.093023256,0.127906977,0.174418605,0.313953488,0.11627907,0.093023256,0.081395349,0.395348838,0.523255814,3.604651163
111,2,0,0,1,4,5,6,6,0,0.083333333,0,0,0.041666667,0.166666667,0.208333333,0.25,0.25,0,0.083333333,0.416666667,0.5,3.541666667
112,1,1,0,8,5,9,11,7,6,0.020833333,0.020833333,0,0.166666667,0.104166667,0.1875,0.229166667,0.145833333,0.125,0.041666666,0.458333334,0.5,3.635416667
114,3,1,1,7,15,40,45,31,22,0.018181818,0.006060606,0.006060606,0.042424242,0.090909091,0.242424242,0.272727273,0.187878788,0.133333333,0.03030303,0.375757575,0.593939394,3.86969697
118,3,0,7,9,12,43,64,44,12,0.015463918,0,0.036082474,0.046391753,0.06185567,0.221649485,0.329896907,0.226804124,0.06185567,0.051546392,0.329896908,0.618556701,3.81443299
121,0,1,2,3,17,9,23,14,6,0,0.013333333,0.026666667,0.04,0.226666667,0.12,0.306666667,0.186666667,0.08,0.04,0.386666667,0.573333334,3.74
122,15,7,22,36,48,51,77,33,16,0.049180328,0.02295082,0.072131148,0.118032787,0.157377049,0.167213115,0.252459016,0.108196721,0.052459016,0.144262296,0.442622951,0.413114753,3.339344262
123,1,0,0,1,1,1,1,3,0,0.125,0,0,0.125,0.125,0.125,0.125,0.375,0,0.125,0.375,0.5,3.4375
124,3,1,8,2,13,28,29,26,17,0.023622047,0.007874016,0.062992126,0.015748031,0.102362205,0.220472441,0.228346457,0.204724409,0.133858268,0.094488189,0.338582677,0.566929134,3.783464567
126,7,1,2,12,19,20,41,24,6,0.053030303,0.007575758,0.015151515,0.090909091,0.143939394,0.151515152,0.310606061,0.181818182,0.045454545,0.075757576,0.386363637,0.537878788,3.571969697
127,0,0,1,2,4,9,9,4,0,0,0,0.034482759,0.068965517,0.137931034,0.310344828,0.310344828,0.137931034,0,0.034482759,0.517241379,0.448275862,3.603448276
129,4,0,1,3,8,12,10,12,5,0.072727273,0,0.018181818,0.054545455,0.145454545,0.218181818,0.181818182,0.218181818,0.090909091,0.090909091,0.418181818,0.490909091,3.609090909
130,1,0,1,6,22,25,40,30,11,0.007352941,0,0.007352941,0.044117647,0.161764706,0.183823529,0.294117647,0.220588235,0.080882353,0.014705882,0.389705882,0.595588235,3.834558824
131,1,0,1,1,2,2,6,0,3,0.0625,0,0.0625,0.0625,0.125,0.125,0.375,0,0.1875,0.125,0.3125,0.5625,3.59375
132,0,1,4,4,10,15,26,21,11,0,0.010869565,0.043478261,0.043478261,0.108695652,0.163043478,0.282608696,0.22826087,0.119565217,0.054347826,0.315217391,0.630434783,3.864130435
134,9,4,11,14,23,30,49,17,6,0.055214724,0.024539877,0.067484663,0.085889571,0.141104294,0.18404908,0.300613497,0.104294479,0.036809816,0.147239264,0.411042945,0.441717792,3.365030675
135,1,1,0,0,4,8,10,5,3,0.03125,0.03125,0,0,0.125,0.25,0.3125,0.15625,0.09375,0.0625,0.375,0.5625,3.75
139,0,0,0,0,2,8,6,0,2,0,0,0,0,0.111111111,0.444444444,0.333333333,0,0.111111111,0,0.555555555,0.444444444,3.777777778
140,6,0,3,9,11,22,31,32,19,0.045112782,0,0.022556391,0.067669173,0.082706767,0.165413534,0.233082707,0.240601504,0.142857143,0.067669173,0.315789474,0.616541354,3.815789474
142,5,0,2,5,12,10,12,6,5,0.087719298,0,0.035087719,0.087719298,0.210526316,0.175438596,0.210526316,0.105263158,0.087719298,0.122807017,0.47368421,0.403508772,3.377192982
143,4,1,2,2,11,21,27,19,19,0.037735849,0.009433962,0.018867925,0.018867925,0.103773585,0.198113208,0.254716981,0.179245283,0.179245283,0.066037736,0.320754718,0.613207547,3.863207547
146,2,1,4,3,5,13,8,10,8,0.037037037,0.018518519,0.074074074,0.055555556,0.092592593,0.240740741,0.148148148,0.185185185,0.148148148,0.12962963,0.38888889,0.481481481,3.638888889
147,3,1,3,4,12,4,18,8,13,0.045454545,0.015151515,0.045454545,0.060606061,0.181818182,0.060606061,0.272727273,0.121212121,0.196969697,0.106060605,0.303030304,0.590909091,3.689393939
148,0,0,0,4,5,3,13,6,3,0,0,0,0.117647059,0.147058824,0.088235294,0.382352941,0.176470588,0.088235294,0,0.352941177,0.647058823,3.808823529
150,1,0,0,1,6,0,6,1,0,0.066666667,0,0,0.066666667,0.4,0,0.4,0.066666667,0,0.066666667,0.466666667,0.466666667,3.333333333
152,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
153,0,0,5,2,5,19,18,10,13,0,0,0.069444444,0.027777778,0.069444444,0.263888889,0.25,0.138888889,0.180555556,0.069444444,0.361111111,0.569444445,3.868055556
154,2,1,5,5,10,28,24,15,12,0.019607843,0.009803922,0.049019608,0.049019608,0.098039216,0.274509804,0.235294118,0.147058824,0.117647059,0.078431373,0.421568628,0.500000001,3.700980392
155,1,0,1,0,1,3,2,0,2,0.1,0,0.1,0,0.1,0.3,0.2,0,0.2,0.2,0.4,0.4,3.45
156,0,0,6,3,8,6,11,13,13,0,0,0.1,0.05,0.133333333,0.1,0.183333333,0.216666667,0.216666667,0.1,0.283333333,0.616666667,3.866666667
160,2,0,3,6,8,17,19,14,7,0.026315789,0,0.039473684,0.078947368,0.105263158,0.223684211,0.25,0.184210526,0.092105263,0.065789473,0.407894737,0.526315789,3.690789474
161,2,0,2,4,5,2,10,5,5,0.057142857,0,0.057142857,0.114285714,0.142857143,0.057142857,0.285714286,0.142857143,0.142857143,0.114285714,0.314285714,0.571428572,3.585714286
163,1,0,2,1,4,7,15,11,7,0.020833333,0,0.041666667,0.020833333,0.083333333,0.145833333,0.3125,0.229166667,0.145833333,0.0625,0.249999999,0.6875,3.927083333
164,1,1,1,0,1,5,10,6,2,0.037037037,0.037037037,0.037037037,0,0.037037037,0.185185185,0.37037037,0.222222222,0.074074074,0.111111111,0.222222222,0.666666666,3.777777778
165,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0.666666667,0.166666667,0.166666667,0,0,1.000000001,4.25
166,0,0,1,4,8,25,20,13,4,0,0,0.013333333,0.053333333,0.106666667,0.333333333,0.266666667,0.173333333,0.053333333,0.013333333,0.493333333,0.493333333,3.76
168,2,0,3,2,8,8,12,10,6,0.039215686,0,0.058823529,0.039215686,0.156862745,0.156862745,0.235294118,0.196078431,0.117647059,0.098039215,0.352941176,0.549019608,3.68627451
169,1,0,1,1,7,3,14,6,5,0.026315789,0,0.026315789,0.026315789,0.184210526,0.078947368,0.368421053,0.157894737,0.131578947,0.052631578,0.289473683,0.657894737,3.815789474
171,1,3,5,7,16,25,20,12,8,0.010309278,0.030927835,0.051546392,0.072164948,0.164948454,0.257731959,0.206185567,0.12371134,0.082474227,0.092783505,0.494845361,0.412371134,3.530927835
173,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0.333333333,0.166666667,0.166666667,0.333333333,0,0.333333333,0.666666667,4.25
174,2,0,0,2,1,2,0,3,5,0.133333333,0,0,0.133333333,0.066666667,0.133333333,0,0.2,0.333333333,0.133333333,0.333333333,0.533333333,3.7
175,6,1,7,10,12,23,42,26,13,0.042857143,0.007142857,0.05,0.071428571,0.085714286,0.164285714,0.3,0.185714286,0.092857143,0.1,0.321428571,0.578571429,3.664285714
176,1,1,0,2,2,4,15,10,8,0.023255814,0.023255814,0,0.046511628,0.046511628,0.093023256,0.348837209,0.23255814,0.186046512,0.046511628,0.186046512,0.767441861,4.011627907
178,1,0,0,1,3,2,8,5,3,0.043478261,0,0,0.043478261,0.130434783,0.086956522,0.347826087,0.217391304,0.130434783,0.043478261,0.260869566,0.695652174,3.869565217
179,0,0,1,1,5,0,0,2,5,0,0,0.071428571,0.071428571,0.357142857,0,0,0.142857143,0.357142857,0.071428571,0.428571428,0.5,3.821428571
181,3,2,4,5,6,28,47,17,12,0.024193548,0.016129032,0.032258065,0.040322581,0.048387097,0.225806452,0.379032258,0.137096774,0.096774194,0.072580645,0.31451613,0.612903226,3.766129032
182,0,0,0,0,3,3,2,1,1,0,0,0,0,0.3,0.3,0.2,0.1,0.1,0,0.6,0.4,3.7
186,1,0,2,0,0,4,5,5,1,0.055555556,0,0.111111111,0,0,0.222222222,0.277777778,0.277777778,0.055555556,0.166666667,0.222222222,0.611111112,3.694444444
187,0,2,3,0,5,3,8,9,6,0,0.055555556,0.083333333,0,0.138888889,0.083333333,0.222222222,0.25,0.166666667,0.138888889,0.222222222,0.638888889,3.805555556
188,4,2,4,9,4,15,22,12,4,0.052631579,0.026315789,0.052631579,0.118421053,0.052631579,0.197368421,0.289473684,0.157894737,0.052631579,0.131578947,0.368421053,0.5,3.473684211
189,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,1,4.5
194,3,0,1,2,6,9,2,8,8,0.076923077,0,0.025641026,0.051282051,0.153846154,0.230769231,0.051282051,0.205128205,0.205128205,0.102564103,0.435897436,0.461538461,3.679487179
195,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0.125,0.375,0.375,0.125,0,0.125,0.875,4.25
197,2,1,0,1,7,2,1,6,1,0.095238095,0.047619048,0,0.047619048,0.333333333,0.095238095,0.047619048,0.285714286,0.047619048,0.142857143,0.476190476,0.380952382,3.333333333
204,4,0,3,1,5,3,2,0,3,0.19047619,0,0.142857143,0.047619048,0.238095238,0.142857143,0.095238095,0,0.142857143,0.333333333,0.428571429,0.238095238,2.904761905
205,0,0,2,0,1,0,0,0,0,0,0,0.666666667,0,0.333333333,0,0,0,0,0.666666667,0.333333333,0,2.333333333
206,1,0,0,0,2,3,10,1,3,0.05,0,0,0,0.1,0.15,0.5,0.05,0.15,0.05,0.25,0.7,3.85
208,1,0,0,2,4,4,11,4,5,0.032258065,0,0,0.064516129,0.129032258,0.129032258,0.35483871,0.129032258,0.161290323,0.032258065,0.322580645,0.645161291,3.838709677
209,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,5
210,0,2,0,0,2,0,10,2,0,0,0.125,0,0,0.125,0,0.625,0.125,0,0.125,0.125,0.75,3.625
211,0,0,2,0,0,0,0,1,0,0,0,0.666666667,0,0,0,0,0.333333333,0,0.666666667,0,0.333333333,2.833333333
214,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5
215,0,0,0,0,2,0,3,2,3,0,0,0,0,0.2,0,0.3,0.2,0.3,0,0.2,0.8,4.2
