,category,coordinates,id,lat,lng,name,price_level,rating,review_count
41,active,POINT (-0.0010658 51.6072122),v6LIdIOZp_nDh7Dk_kDR_g,51.6072122,-0.0010658,Swift Supplements,2,4.0,1
42,active,POINT (-0.1289 51.63297),521IPJY6X3-T_PpyuQ7-YQ,51.63297,-0.1289,Food Palace,2,4.0,1
43,active,POINT (-0.143972 51.50814),1ZVWnxQW5GFxtQnXNzN3ZQ,51.50814,-0.143972,The May Fair Hotel,3,3.5,64
44,active,POINT (-0.191263501370185 51.5010472703868),s0W-AbYi0mGw6egZ2rk_Ow,51.5010472703868,-0.191263501370185,Equinox Kensington,3,3.5,24
45,active,POINT (-0.11949535934287 51.5013133898353),IAIG4QvARG-qRDUcOjOmow,51.5013133898353,-0.11949535934287,Namco Funscape,3,3.0,23
46,active,POINT (-0.138702392578125 51.5119475826494),dfMAWYxzksqcqoSEHNsUOg,51.5119475826494,-0.138702392578125,triyoga,3,3.5,15
47,active,POINT (-0.1061541 51.5208536),745tBtXfqr0EHtP3w7q2Vg,51.5208536,-0.1061541,The Aquarium,3,3.5,13
48,active,POINT (-0.07705585824871131 51.5192987119989),jyyWdZLzyDQkU3A6umyncw,51.5192987119989,-0.0770558582487113,Evans Cycles,3,2.5,9
49,active,POINT (-0.2044122 51.4742152),0Po5pG8_WumGCbsujcZ_BA,51.4742152,-0.2044122,The Power Yoga Company,3,4.5,6
50,active,POINT (-0.09671920000000001 51.5612444),QHDddjQZjG29hPRdwt8gsQ,51.5612444,-0.0967192,Sargent & Co. - Bespoke Bicycle Shop,3,3.0,5
51,active,POINT (-0.127016574144363 51.5000152587891),iaDoy2PGdJxlWA1iBsdSLg,51.5000152587891,-0.127016574144363,Figleaves.co.uk,3,2.0,4
52,active,POINT (-0.125900515955891 51.4853799021416),uACSE-20CRzp4TDOz76mEw,51.4853799021416,-0.125900515955891,Embody Wellness,3,4.0,4
53,active,POINT (-0.0940801 51.500823),04mg2hr9ueT9fNnJzCjsPQ,51.500823,-0.0940801,Borough Studios,3,4.0,2
54,active,POINT (-0.133107 51.50716),HKvo4awr5AAlLSHZvvWACw,51.50716,-0.133107,Farlows Of Pall Mall,3,2.0,2
55,active,POINT (-0.004892 51.506646),VxUQhqNwBp9ELqh39VWcSA,51.506646,-0.004892,East River Spa,3,4.5,2
56,active,POINT (-0.166979 51.492948),oAlgTtnysSfIbV8dN5Q6NA,51.492948,-0.166979,KX Chelsea,3,5.0,2
57,active,POINT (-0.15541 51.527225),vOGeVzepSN7NgByuBrvi3w,51.527225,-0.15541,Tennis Regents - Hyde Park,3,3.0,1
