,idlat,lng,coordinates,name,rating,review_count,price_level,category
57,,-0.15541,POINT (-0.15541 51.527225),Tennis Regents - Hyde Park,3.0,1,3,active
58,,-0.1308444,POINT (-0.1308444 51.5200689),Cloud 9 Cycles,5.0,1,3,active
59,,-0.13724,POINT (-0.13724 51.517469),Agua At Sanderson,5.0,1,3,active
60,,-0.1622325,POINT (-0.1622325 51.354699),"Juniors Plus, Hairdressers",3.5,3,4,active
61,,-0.198323,POINT (-0.198323 51.450979),Vitality Centre,2.5,2,4,active
62,,-0.159017,POINT (-0.159017 51.50248),Royal Thames Yacht Club,5.0,1,4,active
63,,-0.12758,POINT (-0.12758 51.50954),National Portrait Gallery,4.5,188,1,arts
64,,-0.126866769172693,POINT (-0.126866769172693 51.4907293031787),Tate Britain,4.5,127,1,arts
65,,-0.0968295278152076,POINT (-0.09682952781520759 51.5176485154852),Museum Of London,4.0,114,1,arts
66,,-0.153022552114862,POINT (-0.153022552114862 51.5174316756205),The Wallace Collection,4.5,104,1,arts
67,,-0.158737,POINT (-0.158737 51.490707),Saatchi Gallery,4.5,99,1,arts
68,,-0.139058,POINT (-0.139058 51.514935),The Photographers' Gallery,4.5,47,1,arts
69,,-0.125438216602333,POINT (-0.125438216602333 51.5176490927972),Camera Museum,4.0,44,1,arts
70,,-0.175034,POINT (-0.175034 51.504749),Serpentine Galleries,4.0,44,1,arts
71,,-0.126756,POINT (-0.126756 51.508793),St Martin in the Fields,4.5,44,1,arts
72,,-0.13033772564174,POINT (-0.13033772564174 51.514867642482),The Crobar,4.0,41,1,arts
73,,-0.0918525573030515,POINT (-0.0918525573030515 51.5070433706857),Clink Prison Museum,3.0,38,1,arts
74,,-0.117566460750618,POINT (-0.117566460750618 51.5115565765913),The Courtauld Gallery,4.5,34,1,arts
75,,-0.0700728459703897,POINT (-0.07007284597038969 51.5160847710173),Whitechapel Gallery,3.5,27,1,arts
76,,-0.177454,POINT (-0.177454 51.548845),The Freud Museum,4.0,26,1,arts
77,,-0.0859307250688582,POINT (-0.0859307250688582 51.4463139325697),Dulwich Picture Gallery,4.0,25,1,arts
