id_left,active_%,arts_%,auto_%,beautysvc_%,education_%,eventservices_%,financialservices_%,food_%,health_%,homeservices_%,hotelstravel_%,localflavor_%,localservices_%,massmedia_%,nightlife_%,pets_%,professional_%,publicservicesgovt_%,realestate_%,religiousorgs_%,restaurants_%,shopping_%
405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0.333333333
409,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333
412,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
417,0,0,0,0.454545455,0,0,0,0,0,0,0,0,0.181818182,0,0.090909091,0,0,0,0,0,0,0.272727273
422,0,0,0,0.111111111,0,0.111111111,0,0.222222222,0,0,0.111111111,0,0.055555556,0,0.027777778,0,0,0,0,0,0.055555556,0.305555556
426,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5
430,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
439,0,0,0,0.153846154,0,0,0,0.076923077,0,0.076923077,0,0,0.153846154,0,0.076923077,0,0,0,0,0,0.076923077,0.384615385
448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
451,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333
453,0,0,0,0.090909091,0,0.363636364,0,0,0,0,0.363636364,0,0,0,0.090909091,0,0,0,0,0,0.090909091,0
457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
468,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.333333333
474,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2
483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25
505,0,0,0,0.5,0,0,0,0.125,0,0,0,0,0,0,0.125,0,0,0,0,0,0.125,0.125
512,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6
517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
522,0,0,0,0.375,0,0,0,0.25,0,0,0,0,0,0,0.125,0,0,0,0,0,0.125,0.125
523,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
569,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0
570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
571,0,0,0,0.119047619,0,0.023809524,0,0.261904762,0,0,0.035714286,0,0.011904762,0.011904762,0.119047619,0,0,0.011904762,0,0,0.166666667,0.238095238
572,0.016393443,0.016393443,0,0.163934426,0,0.081967213,0,0.196721311,0.032786885,0,0.032786885,0,0.016393443,0,0.147540984,0,0,0,0,0,0.114754098,0.180327869
573,0,0,0,0.125,0,0.041666667,0,0.25,0,0,0,0,0,0,0.208333333,0,0,0,0,0,0.291666667,0.083333333
574,0.025,0.025,0,0.1,0,0.05,0,0.15,0,0,0.05,0,0.025,0,0.15,0,0,0.025,0,0,0.2,0.2
575,0.333333333,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333
576,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0.25
577,0.071428571,0,0,0.214285714,0,0,0,0.142857143,0.071428571,0,0,0,0.071428571,0,0.142857143,0,0,0,0,0,0.142857143,0.142857143
578,0,0.03030303,0,0.151515152,0,0.03030303,0,0.242424242,0.03030303,0.03030303,0,0,0,0,0.060606061,0,0,0,0,0,0.121212121,0.303030303
579,0,0,0,0.076923077,0,0.076923077,0,0.230769231,0,0,0,0,0.076923077,0,0.076923077,0,0,0,0,0,0,0.461538462
580,0,0,0,0.101694915,0.016949153,0.050847458,0,0.203389831,0,0.016949153,0.050847458,0,0,0,0.016949153,0,0,0,0,0,0.13559322,0.406779661
582,0,0,0,0.5,0,0.1,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.1
583,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2
591,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0.166666667,0,0,0,0,0,0,0.333333333
592,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
594,0,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0.166666667,0.166666667,0,0,0,0,0,0.333333333,0
600,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
