id,business_count,area,business_per_km_2
252,5,13.73195255,0.364114279
254,88,10.88018403,8.088098489
256,1,15.30189875,0.065351367
258,30,4.113431251,7.293181329
260,122,11.82877451,10.31383259
261,5,11.46306452,0.436183535
262,6,12.18333622,0.492475944
263,12,9.240949417,1.29856787
268,63,7.388674106,8.526563643
273,7,18.0974439,0.386794955
274,1,12.73044629,0.078551842
275,80,9.871926948,8.103787682
279,6,11.61462303,0.516590163
280,3,11.55874883,0.259543662
281,40,7.480327439,5.347359501
287,6,11.14186933,0.538509277
290,7,12.97778558,0.539383237
295,2,10.19781086,0.196120523
296,5,7.617295306,0.656400966
300,18,9.308274242,1.933763395
304,4,10.85948895,0.368341459
305,1,10.92571788,0.091527167
307,1,17.02876073,0.058724179
310,31,20.51776592,1.510885742
311,2,19.28532698,0.103705786
312,2,16.00071678,0.1249944
316,2,21.16061696,0.094515203
318,22,10.4127851,2.112787289
321,7,17.96446141,0.389658217
322,5,10.70939779,0.46687966
323,3,11.12092779,0.269761665
324,20,11.16838703,1.790768886
325,2,20.73874218,0.096437864
327,46,8.540348408,5.38619712
331,44,11.16842964,3.939676517
332,1,16.12267753,0.062024437
335,13,12.58111065,1.033295101
336,12,12.05713692,0.995261153
337,3,13.22798886,0.226791845
340,17,14.72337383,1.154626663
341,11,15.23834228,0.721863297
343,17,4.557231533,3.730334936
349,15,34.39694788,0.436085203
354,1,15.50277438,0.064504583
356,5,15.23002011,0.328298976
358,7,9.939513238,0.70425984
361,2,25.21002345,0.079333524
367,32,13.96358688,2.291674788
369,4,16.7567622,0.2387096
370,12,14.54677175,0.824925297
372,10,16.28380455,0.614107101
376,1,10.21574333,0.097888129
383,11,10.35575662,1.062211135
385,3,12.88900784,0.232756473
391,6,10.89187957,0.550869109
400,7,12.9186084,0.541854028
405,3,4.178645346,0.717936018
409,2,15.95669793,0.125339215
410,3,14.97707766,0.200306099
412,2,11.6618736,0.171499029
417,11,7.706191007,1.427423742
422,36,9.418295583,3.822347651
426,2,34.44223822,0.058068235
430,4,15.97178184,0.250441688
439,13,14.12037074,0.920655714
448,1,15.05584549,0.066419385
451,3,15.041431,0.199449108
453,11,10.01870514,1.097946276
457,1,34.32257173,0.029135346
468,1,11.19138728,0.089354427
471,3,11.12575223,0.269644689
474,5,42.8378165,0.116719301
483,1,16.44448812,0.060810649
491,4,14.5254863,0.275378044
505,8,20.04771423,0.399047987
512,5,56.59448222,0.088347835
517,1,12.76973129,0.078310183
522,8,17.8640305,0.447827269
523,2,18.23797182,0.109661316
535,1,35.95371644,0.027813536
569,4,45.12859374,0.0886356
570,1,10.79815932,0.092608376
571,84,11.20147012,7.499015674
572,61,12.83013517,4.754431594
573,24,11.37266523,2.110323263
